symbol,date,entry_time,or_range_pct,volume_ratio,breakout_pct,minutes_after_open,spy_trend_pct,day_of_week,entry_price,hit_target,exit_reason,exit_price
AVGO,2026-04-22,10:20,0.010122249388753023,2.1118820516245065,0.007066014669926617,20,0.001607490340957303,2.0,411.89,1,TARGET,415.49
AVGO,2026-05-05,11:15,0.016405352832266986,1.3477173693540063,0.0009843211699360564,75,0.002466159579921544,1.0,427.11,0,EOD,428.51
AVGO,2026-05-08,13:20,0.022939677145284686,1.6756878613523236,0.01975361087510608,200,0.0035104906522980474,4.0,432.09,0,EOD,427.73
AVGO,2026-05-20,14:00,0.014633679017076514,1.2513448375506189,0.003879960721385301,240,0.0056408862308005665,2.0,419.15,0,EOD,418.59
SMCI,2026-03-31,10:15,0.01522842639593917,1.3132137889897246,0.00046146746654351684,15,0.003990985069020494,1.0,21.68,1,TARGET,22.21
SMCI,2026-04-02,10:35,0.017520215633423205,1.1150766149456328,0.03504043126684625,35,0.008941555026144127,3.0,23.04,1,TARGET,23.04
SMCI,2026-04-07,15:20,0.02892745883400083,1.071815731321645,0.002225189141077023,320,0.0008223684210525762,1.0,22.52,0,EOD,22.56
SMCI,2026-04-13,11:15,0.028219395866454725,1.6982785022898697,0.003974562798092266,75,0.0038529672276350953,0.0,25.26,0,EOD,25.8
SMCI,2026-04-14,10:10,0.024300441826215026,1.0462527923665432,0.0029455081001472125,10,0.003911646235949251,1.0,27.24,0,EOD,27.3
SMCI,2026-04-16,11:20,0.03857245854361921,1.0731409753778243,0.01405912040374912,80,0.0004136593158931865,3.0,28.13,0,EOD,28.4
SMCI,2026-04-21,10:25,0.030252100840336086,1.1151000635136041,0.0020168067226890326,25,5.631581911369785e-05,1.0,29.81,0,STOP,28.78
SMCI,2026-05-08,10:05,0.03869047619047632,1.1328093792197544,0.02202380952380958,5,0.002476392630690854,4.0,34.34,0,EOD,34.89
SMCI,2026-05-14,10:00,0.029855340104647656,4.610204919118558,0.006771314250538592,0,0.0010354194120969016,3.0,32.71,0,EOD,32.9
SMCI,2026-05-20,10:20,0.044568245125348224,1.1106677988168632,0.010213556174558906,20,0.0022019845045534924,2.0,32.64,0,EOD,33.59
SMCI,2026-05-26,10:40,0.02557755775577557,1.1609606073072745,0.004125412541254086,40,0.0022799696004053766,1.0,36.51,1,TARGET,37.85
SMCI,2026-05-28,10:15,0.019714656290531728,2.4209119957886918,0.019195849546044152,15,0.0037454181939352823,3.0,39.29,1,TARGET,40.07
QQQ,2026-03-31,12:35,0.008086774607527773,1.0643850642147954,0.004166446917356687,155,0.004726578395467464,1.0,571.2,1,TARGET,575.99
QQQ,2026-04-01,10:35,0.006181189322466335,1.0255950206214657,0.000684896323818943,35,0.000978772863522338,2.0,584.43,0,EOD,585.04
QQQ,2026-04-02,10:35,0.009542282181389937,2.091939074513725,0.01260758879864241,35,0.008941555026144127,3.0,584.71,0,EOD,583.27
QQQ,2026-04-13,10:00,0.005901392794088821,1.1930328472218414,0.0002452102269011594,0,0.003410097431355269,0.0,611.87,0,EOD,615.66
QQQ,2026-05-05,10:25,0.0050079304470421904,1.0577602547197198,0.00029372026082365843,25,0.001953530903196265,1.0,681.12,0,EOD,681.86
QQQ,2026-05-08,10:00,0.008420276706736299,1.161785719676577,0.00017010660013593056,0,0.002313113995700236,4.0,705.56,0,EOD,710.24
QQQ,2026-05-13,11:40,0.007239742524331995,1.0431103569826952,0.0031268926856064722,100,0.001814611686640826,2.0,712.19,0,EOD,715.84
QQQ,2026-05-14,11:20,0.0076004946574219825,1.1793411419801443,0.0023204435242951257,80,0.006441115563564099,3.0,721.36,0,EOD,720.5
QQQ,2026-05-15,13:55,0.006855099800118247,1.2505559773058,0.0053348723290449,235,0.0011863035858721968,4.0,714.21,0,EOD,710.62
QQQ,2026-05-20,10:30,0.005817319232452741,1.008686288955636,0.0006071473956199962,30,0.0029767568302296325,2.0,708.66,0,EOD,712.25
QQQ,2026-05-28,10:10,0.006442170915855176,1.9201785958941382,0.0015592515592515407,10,0.0005198267244251734,3.0,732.26,0,EOD,735.87
IWM,2026-03-31,12:40,0.009706362153344191,3.277588696731923,0.008686786296900588,160,0.009312298494381211,1.0,247.33,0,EOD,248.17
IWM,2026-04-02,10:35,0.008382603061472396,3.0130206686193435,0.017170162792581233,35,0.008941555026144127,3.0,251.18,1,TARGET,251.18
IWM,2026-04-06,15:25,0.0058660325009909555,1.8127670751531457,0.00019817677368205686,325,0.0032171500015247363,0.0,252.35,0,EOD,252.63
IWM,2026-04-07,13:35,0.006434955312810345,1.101250502803871,0.004051638530288025,215,0.0001370614035088204,1.0,252.77,0,EOD,252.46
IWM,2026-04-09,11:30,0.0068695552058948475,1.7812053818079945,0.002187511992938532,90,0.0016151976764861569,3.0,261.14,0,EOD,262.0
IWM,2026-04-13,15:15,0.008314263920671269,1.9201680486871266,0.009153318077803334,315,0.008547387068202064,0.0,264.6,0,EOD,264.8
IWM,2026-04-14,12:25,0.005007099618862685,1.5387557249164179,0.004932366788730264,145,0.008419491340574915,1.0,268.94,0,EOD,268.65
IWM,2026-04-17,10:40,0.0050635678117372275,1.5491759747191218,0.009034279261229166,40,0.005919422219075357,4.0,276.99,1,TARGET,277.22
IWM,2026-04-20,10:15,0.006082328662973849,1.1185550716333423,0.0003982477100757165,15,0.0006631019060653047,0.0,276.32,0,EOD,277.23
IWM,2026-04-24,11:40,0.011035378123985726,1.1298549603979537,0.001154026470482142,100,0.0013366162504397404,4.0,277.61,0,EOD,276.6
IWM,2026-05-01,11:50,0.00799856527977051,1.1741732521834638,0.0005380200860831322,110,0.004214904679376033,4.0,278.95,0,EOD,279.59
IWM,2026-05-08,14:10,0.005524667464283177,1.0192951393825038,0.002568794426068049,250,0.00334721201730743,4.0,284.91,0,EOD,284.11
IWM,2026-05-11,11:35,0.006111615561919397,1.4036999756620083,0.0006635468324369552,95,0.00467099367243291,0.0,286.53,0,EOD,285.17
IWM,2026-05-13,15:25,0.010883007667573528,1.1368471888708531,0.0009540298929365811,325,0.006310515268467693,2.0,283.28,0,EOD,282.89
IWM,2026-05-19,14:05,0.008434042863923482,1.282243643003277,0.0023732155244807554,245,0.0029397754338209843,1.0,274.54,0,EOD,273.11
IWM,2026-05-20,10:20,0.009671109823239493,1.5955212799275864,0.004237902057374732,20,0.0022019845045534924,2.0,277.25,0,EOD,279.41
IWM,2026-05-21,10:00,0.012259880965109228,1.0745546426760522,7.127837770426122e-05,0,0.001516238645132474,3.0,280.61,0,EOD,282.39
IWM,2026-05-22,13:25,0.006860102901543452,1.1724656297736427,0.002520037800567104,205,0.001527658662092606,4.0,286.43,0,EOD,284.68
IWM,2026-05-28,10:10,0.006140471919414837,2.410777102517145,0.0013798813302055239,10,0.0005198267244251734,3.0,290.28,1,TARGET,292.56
COIN,2026-03-31,10:15,0.03228116236052268,1.1609887274334605,0.006324959723133852,15,0.003990985069020494,1.0,168.65,0,EOD,175.52
COIN,2026-04-02,10:35,0.026891956211328,1.8397012948676013,0.01207758210376012,35,0.008941555026144127,3.0,170.11,0,EOD,171.43
COIN,2026-04-15,10:05,0.02486716259298607,2.6728450521504477,0.012858660998937387,5,1.4383108477391055e-05,2.0,190.62,0,EOD,194.85
COIN,2026-04-16,12:20,0.042626262626262616,1.0381167376130886,0.0032828282828283113,140,0.0023393147519471945,3.0,198.65,0,EOD,199.8
COIN,2026-04-17,10:05,0.023339749759384132,1.041194548874913,0.0014436958614051153,5,0.0038377115343766004,4.0,208.1,1,TARGET,215.31
COIN,2026-05-11,10:05,0.058361008009376776,1.18264095746707,0.00883961711271734,5,0.0029057925752925973,0.0,206.57,0,EOD,214.1
COIN,2026-05-14,10:50,0.030992351246647506,1.2670034584165375,0.027962650243369403,50,0.00480058091063127,3.0,206.97,1,TARGET,211.28
COIN,2026-05-20,12:15,0.023168408587756786,2.4840454692289318,0.0022653555063584293,135,0.0059535136604594195,2.0,194.67,0,EOD,192.97
COIN,2026-05-28,14:50,0.03182052309277172,1.0863509996647926,0.03582670405768912,290,0.005344885038320548,3.0,180.99,0,EOD,182.56
COIN,2026-05-29,11:05,0.03584905660377362,1.8765099950487076,0.009380053908355845,65,0.0005688583145919615,4.0,187.24,0,ENGINE_STOP,0.0
DKNG,2026-03-31,10:10,0.02312411514865512,1.2635909013206272,0.001887682869277921,10,0.0035684101793595213,1.0,21.23,0,EOD,21.68
DKNG,2026-04-02,10:00,0.022829006266786103,1.4205969752453809,0.00044762757385861967,0,0.0049658117013706825,3.0,22.35,0,EOD,23.16
DKNG,2026-04-13,10:00,0.016749660479855183,1.4913957230983068,0.0013580805794477654,0,0.003410097431355269,0.0,22.12,0,EOD,22.53
DKNG,2026-04-14,13:35,0.02468601126028585,1.157197837327305,0.0038977912516240734,215,0.009175646003286285,1.0,23.18,0,EOD,22.95
DKNG,2026-04-15,10:55,0.03271812080536918,1.0476144654498716,0.0008389261744966264,55,0.002085550729223665,2.0,23.86,0,EOD,23.66
DKNG,2026-04-24,13:45,0.04497354497354496,1.0122155216326798,0.022486772486772555,225,0.0039113612381286985,4.0,23.19,0,EOD,23.39
DKNG,2026-04-27,12:05,0.026717557251908358,1.697198275862069,0.002120441051738792,125,0.000420657066337715,0.0,23.63,0,EOD,23.72
DKNG,2026-04-30,15:25,0.014199655765920754,2.9733815627042337,0.0008605851979347301,325,0.006478877181198656,3.0,23.26,0,EOD,23.22
DKNG,2026-05-05,11:10,0.01653242899533703,1.91780841700152,0.0105977108944468,70,0.0021474985106059662,1.0,23.84,0,EOD,24.0
DKNG,2026-05-06,13:40,0.02846685644570961,1.872710248045279,0.004880032533550264,220,0.004792836837551683,2.0,24.71,0,EOD,24.07
DKNG,2026-05-07,11:05,0.022653721682847846,1.186674244509764,0.011326860841423994,65,0.001061152302564569,3.0,25.0,0,EOD,25.0
DKNG,2026-05-13,15:40,0.03690186536901866,1.2194389451801064,0.02230332522303328,340,0.006676145981447558,2.0,25.21,0,EOD,25.16
DKNG,2026-05-14,10:25,0.013365735115431423,2.737419177275053,0.011745646010530544,25,0.003052470214883121,3.0,24.98,0,EOD,25.17
DKNG,2026-05-15,10:20,0.03186467348544462,2.519889536562914,0.005114083398898466,20,0.00025613372876793556,4.0,25.55,0,EOD,24.96
DKNG,2026-05-21,13:20,0.020375549340791114,2.906273575743946,0.02317219336795838,200,0.004183194119160155,3.0,25.61,0,EOD,25.37
DKNG,2026-05-27,10:20,0.03724696356275296,1.0426199459791259,0.006072874493927212,20,0.0004661073378612635,2.0,24.85,0,EOD,25.28
HOOD,2026-03-31,12:40,0.025993426949506945,1.672448231096302,0.020764864057364815,160,0.009312298494381211,1.0,68.33,0,EOD,69.23
HOOD,2026-04-02,10:35,0.034599528857479515,1.106879295900738,0.020906949352179058,35,0.008941555026144127,3.0,69.34,0,EOD,68.78
HOOD,2026-04-06,10:05,0.016320687186828928,2.1580193403044183,0.0031496062992125823,5,0.0008843350715092259,0.0,70.07,0,EOD,70.09
HOOD,2026-04-13,10:00,0.03322401254812489,1.048021212768455,0.0029944388991873373,0,0.003410097431355269,0.0,70.34,0,EOD,71.17
HOOD,2026-05-06,15:20,0.02378227139768524,1.3686748912632796,0.007376319470939824,320,0.00770424488786961,2.0,79.21,0,EOD,79.19
HOOD,2026-05-14,10:50,0.02124055251498561,1.1039669859235421,0.01550690643732098,50,0.00480058091063127,3.0,77.93,1,TARGET,79.37
HOOD,2026-05-20,11:15,0.015748031496063082,1.3034570462639856,0.007073268383824728,75,0.004213674051923215,2.0,75.46,0,EOD,75.84
HOOD,2026-05-28,10:10,0.05488431876606679,1.204743945795401,0.0006426735218508633,10,0.0005198267244251734,3.0,77.85,0,EOD,84.29
SOFI,2026-03-31,12:40,0.01796023091725461,2.1508571319859766,0.013470173187941043,160,0.009312298494381211,1.0,15.8,1,TARGET,16.01
SOFI,2026-04-02,10:35,0.019053876478318063,1.326431807898822,0.025624178712220683,35,0.008941555026144127,3.0,15.61,1,TARGET,15.73
SOFI,2026-04-13,10:00,0.03855421686746991,1.0285612540547966,0.000602409638554097,0,0.003410097431355269,0.0,16.61,0,EOD,16.96
SOFI,2026-04-17,10:15,0.026553106212424904,1.0538634090290993,0.004509018036072137,15,0.004262550449621172,4.0,20.05,0,EOD,19.51
